element,type,confidence(%)
collection date,Patient History,64.591675
first cd4 count <200 total lymphocytes,Diagnostic Testing,60.53157
cd4 percentage,Epidemiological/Exposure Factors/ Exposure/Source,60.424435
collection date,Patient History,64.591675
hiv genotype,History of the disease,63.55398
collection date,Patient History,64.591675
name of opportunistic illness,Illness in Mother and Infant,73.13955
illness diagnosis date,Patient History,76.82058
date questions answered by patient,Patient History,78.403114
main source of tth info,Clinical Information,67.77486
ever have previous positive hiv test,Diagnostic Testing,65.402115
anonymous 1st positive test,Diagnostic Testing,72.418236
ever test negative,Diagnostic Testing,74.35915
no. of negative tests in 24 mo. before 1st positive test,Diagnostic Testing,69.108894
for hiv tx,Clinical Information,69.954735
for prep,Nutritious / Food consumption,60.04487
for pep,Comments,58.94133
for preg mom,Illness in Mother and Infant,71.30834
for hep b tx,Clinical Information,69.75581
currently using arv,Surveillance Use Only,62.171467
comments,Comments,99.999985
patient last name,Patient History,83.3284
first name,Case Information,61.800117
middle name,Traditional Healer,58.290768
patient aka: last name,Patient History,79.56929
aka: first name,Case Information,61.316498
aka: middle name,Case Information,58.730442
date of report,Patient History,69.04628
age,Comments,59.58798
date of birth,Patient History,64.33852
country of birth,Case Information,62.051983
social security number,Partner Information,64.505775
"if patient is a child, guardian last name",Patient History,73.88401
guardian first name,Traditional Healer,66.33438
guardian middle name,Traditional Healer,64.45714
date of diagnosis,History of the disease,78.36922
medical record number,Patient History,77.05303
medicaid number,Clinical Information,62.329514
date of onset of illness,History of the disease,78.628334
patient home address,Patient History,72.6806
city,Event,65.335236
state,Local Fields,62.370808
zip code,Partner Information,59.76201
country,Community Investigation,62.057514
borough,Administrative,62.973255
email address,Partner Information,67.84187
mobile phone,Surveillance Use Only,66.23398
patient home phone number,Patient History,71.09871
home status*,Surveillance Use Only,61.223137
sex,Comments,66.737495
race,Event,69.50713
ethnicity,Community Investigation,64.273766
is patient alive,Patient History,72.6561
if patient is pregnant,Illness in Mother and Infant,73.82022
is case suspected to be due to healthcare associated transmission,Illness in Mother and Infant,77.41896
was patient admitted to hospital,Patient History,79.25569
is patient a newborn infant,Illness in Mother and Infant,81.574356
"if yes, name of hospital where infant was born",Illness in Mother and Infant,70.33267
name of facility where infant's mother obtained prenatal care,Illness in Mother and Infant,75.58885
foreign travel countries,Medical Encounters,57.611847
date returned to u.s.,Patient History,59.898926
name of person reporting disease,Clinical Information,74.98102
email address,Partner Information,67.84188
phone,Call logs,66.341896
name of facility of person reporting disease,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.719894
national provider identifier (npi) code,Partner Information,62.578655
permanent facility identifier (pfi) code,Reporting Entity/Reporting Facility,66.961754
facility street address,Reporting Entity/Reporting Facility,67.6946
city,Event,65.33524
state,Local Fields,62.3708
zip code,Partner Information,59.76201
name of hospital/healthcare facility providing care for patient,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.92818
facility national provider identifier (npi) code,Reporting Entity/Reporting Facility,65.196625
permanent facility identifier (pfi) code,Reporting Entity/Reporting Facility,66.961754
facility street address,Reporting Entity/Reporting Facility,67.6946
city,Event,65.33524
state,Local Fields,62.3708
zip code,Partner Information,59.76201
name of testing laboratory,Laboratory Data,78.33079
phone,Call logs,66.341896
clia number,Case Information,62.72081
laboratory street address,Laboratory Data,70.45805
city,Event,65.335236
state,Local Fields,62.3708
zip code,Partner Information,59.76201
name of provider caring for patient,Patient History,74.43371
national provider identifier (npi) code,Partner Information,62.578655
fax,Administrative,64.17158
email address,Partner Information,67.84188
phone,Call logs,66.341896
mobile,Comments,66.51685
provider street address,Partner Information,66.275665
city,Event,65.335236
state,Local Fields,62.3708
zip code,Partner Information,59.76201
amebiasis,Illness in Mother and Infant,66.823296
anaplasmosis,History of the disease,67.47616
anthrax,Public Health Issues,65.88822
"arboviral infections, acute*",Illness in Mother and Infant,70.433945
babesiosis,History of the disease,67.56042
botulism*,History of the disease,65.57185
brucellosis diagnosis,Diagnostic Testing,69.874664
campylobacteriosis†,History of the disease,67.985596
chikungunya,History of the disease,69.275856
cholera infection,Illness in Mother and Infant,72.311005
cryptosporidiosis†,History of the disease,68.46979
cyclosporiasis†,History of the disease,66.75862
dengue,Public Health Issues,70.38422
diphtheria*,History of the disease,67.608795
ehrlichiosis,History of the disease,72.445694
encephalitis,History of the disease,70.980865
escherichia coli o157:h7 infection†,Maternal and Neonatal (e.g. Listeria forms),67.13663
food poisoning in a group of 2 or more individuals*,Epidemiological/Exposure Factors/ Exposure/Source,71.215454
giardiasis†,History of the disease,68.80416
glanders*,Medical Encounters,60.129158
haemophilus influenzae,Maternal and Neonatal (e.g. Listeria forms),67.8045
test type,Diagnostic Testing,77.33923
specimen source,Laboratory Data,75.70076
specify serotype,Laboratory Data,60.8295
hantavirus disease*,History of the disease,72.299484
hemolytic uremic syndrome,Illness in Mother and Infant,65.66426
jaundice,Illness in Mother and Infant,68.86504
alt (sgpt) value,Control Measures,54.559742
lab reference range,Laboratory Data,76.84151
hepatitis a†,History of the disease,70.57935
igm anti-hav,Potential Vibrio vehicles,62.469494
hepatitis b†,History of the disease,68.05762
igm anti-hbc,Clinical Information,60.85952
hbsag,Comments,63.216255
hbeag,Comments,62.81079
hbv nucleic acid,Potential Vibrio vehicles,70.57853
hepatitis b in pregnancy,Illness in Mother and Infant,72.57923
hepatitis c†,History of the disease,68.09883
is this an acute infection?,Illness in Mother and Infant,71.281685
"herpes, neonatal",Illness in Mother and Infant,76.62331
hiv/aids,Public Health Issues,76.511856
influenza,Illness in Mother and Infant,70.37313
lead poisoning,Epidemiological/Exposure Factors/ Exposure/Source,72.01177
legionellosis,History of the disease,70.13506
specify positive test,Diagnostic Testing,77.68262
leprosy (hansen’s disease),History of the disease,74.31013
leptospirosis,History of the disease,68.00612
listeriosis†,Maternal and Neonatal (e.g. Listeria forms),79.81441
lyme disease,History of the disease,72.29109
erythema migrans present?,History of the disease,67.304
lymphocytic choriomeningitis virus,History of the disease,67.32566
lymphogranuloma venereum,History of the disease,68.54126
malaria,Public Health Issues,72.09324
measles (rubeola)*,History of the disease,69.096565
melioidosis*,History of the disease,69.43023
"meningitis, specify bacteria identified",Maternal and Neonatal (e.g. Listeria forms),73.4012
"meningococcal disease, invasive (including meningitis) *",Maternal and Neonatal (e.g. Listeria forms),71.96848
test type/specimen source,Laboratory Data,84.08652
monkeypox*,Medical Encounters,59.801613
mumps†,History of the disease,71.27488
paratyphoid fever†,Illness in Mother and Infant,72.56268
pertussis (whooping cough)†,Illness in Mother and Infant,74.966194
pesticide poisoning,Epidemiological/Exposure Factors/ Exposure/Source,69.61864
plague diagnosis,Illness in Mother and Infant,73.13061
poisoning,Public Health Issues,69.8903
poliomyelitis*,History of the disease,72.23804
psittacosis,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.176834
q fever*,Illness in Mother and Infant,64.11832
rabies and exposure to rabies*,Epidemiological/Exposure Factors/ Exposure/Source,69.31435
ricin poisoning*,Epidemiological/Exposure Factors/ Exposure/Source,64.69122
rickettsialpox,,60.85031
rocky mountain spotted fever,History of the disease,68.32347
rubella (german measles)*,History of the disease,70.842094
"rubella syndrome, congenital",Illness in Mother and Infant,75.444725
salmonellosis†,Illness in Mother and Infant,68.60917
"severe or novel coronavirus (e.g., sars or mers-cov)*",Epidemiological/Exposure Factors/ Exposure/Source,69.54267
shiga-toxin producing escherichia coli (stec) infection†,Maternal and Neonatal (e.g. Listeria forms),65.15706
shigellosis†,History of the disease,71.090034
smallpox (variola)*,History of the disease,70.7287
staphylococcal enterotoxin b poisoning*,Maternal and Neonatal (e.g. Listeria forms),69.24151
"staphylococcus aureus, vancomycin intermediate (visa) and resistant (vrsa)*",Maternal and Neonatal (e.g. Listeria forms),66.9445
source,Event,64.08627
mic (μg/ml),Laboratory Data,71.61504
streptococcus,Maternal and Neonatal (e.g. Listeria forms),66.06346
specify source,Epidemiological/Exposure Factors/ Exposure/Source,65.2868
"syphilis, including congenital",Illness in Mother and Infant,71.77641
tetanus,Medical Encounters,67.10201
toxic shock syndrome,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.56126
trachoma,History of the disease,65.38129
transmissible spongiform encephalopathy,History of the disease,68.68729
testing done,Diagnostic Testing,69.60604
trichinosis,History of the disease,69.45246
tuberculosis,History of the disease,73.107315
tularemia*,Illness in Mother and Infant,64.52971
typhoid fever†,Illness in Mother and Infant,72.85625
vaccinia disease (adverse events associated with smallpox vaccination)*,History of the disease,74.04767
"vibrio species, non-cholera specify species",Potential Vibrio vehicles,80.90862
viral hemorrhagic fever*,Illness in Mother and Infant,68.28557
"west nile fever and viral neuroinvasive disease (e.g., meningitis and encephalitis)",Maternal and Neonatal (e.g. Listeria forms),68.54232
yellow fever dignosis,History of the disease,73.97091
"yersiniosis, non-plague†",Illness in Mother and Infant,69.82823
zika,Public Health Issues,73.52978
patient works in,Medical Encounters,74.86979
patient attends/resides in,Medical Encounters,72.378365
animal bites,Medical Encounters,67.717476
animal species,Traditional Healer,61.493786
breed,,60.25769
color(s),Comments,62.063663
owner's name,Partner Information,68.65461
address,Partner Information,65.42753
patient city/state/zip,Patient History,77.36876
phone,Call logs,66.341896
date of bite,History of the disease,67.331085
area of body bitten,Medical Encounters,61.761486
activity at time of bite,Medical Encounters,62.809677
place of occurence,Event,68.378654
treatment given,Treatment/ Services referrals/ Case Diagnosis and Treatment,82.778824
rabies prophylaxis,Maternal and Neonatal (e.g. Listeria forms),62.808777
hrig,Reporting Entity/Reporting Facility,61.1395
rabies vaccine,Maternal and Neonatal (e.g. Listeria forms),60.59025
drownings,Public Health Issues,71.9918
drowning location,Medical Encounters,58.689835
outcome,Event,70.561615
window falls,Event,57.757412
route of exposure,Epidemiological/Exposure Factors/ Exposure/Source,73.70851
chemical,Laboratory Data,64.81775
quantity,Event,63.258446
date and time of exposure,Epidemiological/Exposure Factors/ Exposure/Source,74.187325
unintentional,Event,59.920906
intentional,Event,61.986565
other,Event,64.07744
adverse reaction,Epidemiological/Exposure Factors/ Exposure/Source,67.06422
symptom assessment (check all that apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,76.39881
specimen source,Laboratory Data,75.70076
date collected,Event,65.1127
data analyzed,Laboratory Data,75.04492
laboratory accession number,Laboratory Data,76.68456
results (units),Laboratory Data,67.75633
purpose of test,Diagnostic Testing,81.6059
body weight,Nutritious / Food consumption,66.274734
units*,Control Measures,59.55014
resp,Administrative,62.701267
temp,Cold Chain and Transport,62.11725
pulse,Event,62.858147
pupils,Medical Encounters,63.95619
bp,Public Health Issues,63.439476
provider treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,84.18627
patient status at time of reporting,Patient History,80.75815
indicate all sites of disease for tb suspect or case,Diagnostic Testing,70.158676
collection date,Patient History,64.59167
laboratory results,Laboratory Data,89.68653
specimen number,Laboratory Data,71.53805
specimen source,Laboratory Data,75.70076
afb smear,Diagnostic Testing,67.5372
nucleic acid amplification (naa),Laboratory Data,64.993324
test type,Diagnostic Testing,77.33923
mutation analysis test type,Diagnostic Testing,73.46026
mutation detected,Diagnostic Testing,64.30435
"if yes, list the genes with mutation",History of the disease,64.135086
m. tb complex culture,History of the disease,65.32005
pathology consistent with tb,Diagnostic Testing,67.56067
date,Event,67.06779
pathology specimen number,Laboratory Data,71.496735
pathology specimen source,Laboratory Data,77.82533
pathology findings,Diagnostic Testing,76.282845
chest x-ray,Clinical Information,69.40094
chest x-ray type,Clinical Information,68.40525
x-ray type*,Laboratory Data,64.09741
x-ray date*,Patient History,62.82931
body site,Clinical Information,61.403847
body site x-ray type,Laboratory Data,68.11597
test for tb infection,Diagnostic Testing,75.38641
date of most recent test,Diagnostic Testing,70.93371
type of test,Diagnostic Testing,81.59628
result,Comments,66.999115
induration,Comments,61.593884
on anti-tb medications,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.83883
isoriazid (inh),Clinical Information,64.400955
rufampin (rf),Potential Vibrio vehicles,59.754898
pyrazimide (pza),Clinical Information,62.709652
ethambutol,Traditional Healer,65.28946
other 1,Event,63.4534
other 2,Event,60.019596
other 3,Event,58.96424
airborne isolation,Surveillance Use Only,64.275185
"if yes, date initiated",Event,61.979
date discontinued,Event,61.674988
were any of this patient's sex partners notified of possible exposure to an std (check all that apply),Patient History,69.80127
did you provide treatment for any of this patient's partners? (check all that apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,76.30677
is the patient on pre-exposure prophylaxis (prep) to prevent hiv infection,Patient History,65.44071
please indicate gender of sexual partners in the past year (check all that apply),Partner Information,67.94996
chancroid,,61.82715
specify type of specimen,Laboratory Data,78.48269
specimen collection date,Laboratory Data,69.71434
treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.35067
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.20422
chlamydia (ct),Medical Encounters,65.2023
specify type of specimen,Laboratory Data,78.48269
specify test type,Diagnostic Testing,70.4077
specimen collection date,Laboratory Data,69.71434
treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.35067
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.20422
gonorrhea (gc),Public Health Issues,65.21618
specify type of specimen,Laboratory Data,78.48269
specify test type,Diagnostic Testing,70.4077
specimen collection date,Laboratory Data,69.71434
treatment 1*,Treatment/ Services referrals/ Case Diagnosis and Treatment,78.26738
treatment 2*,Treatment/ Services referrals/ Case Diagnosis and Treatment,76.54254
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.20422
specify type of specimen,Laboratory Data,78.48269
specimen collection date,Laboratory Data,69.71434
treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.35067
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.204216
"herpes, neonatal",Illness in Mother and Infant,76.62331
herpes type,Potential Vibrio vehicles,65.759964
clinical syndrome (check all that apply),Clinical Information,77.67467
herpes lesions present?,History of the disease,65.84781
specimen collection date,Laboratory Data,69.71434
treatment for infant,Illness in Mother and Infant,79.31249
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.204216
patient mother’s name,Illness in Mother and Infant,76.60968
mother’s dob,Illness in Mother and Infant,61.668457
birth hospital,Medical Encounters,71.171036
mother’s labor and delivery medical record no,Illness in Mother and Infant,75.91943
mlymphogranuloma venereum,History of the disease,68.38422
clinical presentation (check all that apply),Clinical Information,79.963936
specimen collection date,Laboratory Data,69.71434
treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.35067
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.20422
has syphilis,Illness in Mother and Infant,67.72917
stage,Event,71.415146
neurologic symptoms present?,Treatment/ Services referrals/ Case Diagnosis and Treatment,69.14861
ocular symptoms present?,Diagnostic Testing,64.18143
otic symptoms present?,Treatment/ Services referrals/ Case Diagnosis and Treatment,66.112206
treatment – list medication and dosage below,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.161644
treatment date,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.204216
serologic tests for syphilis,Diagnostic Testing,74.83027
non-treponemal test,Diagnostic Testing,73.88699
titer,,61.23489
specimen collection date,Laboratory Data,69.71434
treponemal test,Diagnostic Testing,77.54918
specimen collection date,Laboratory Data,69.71434
cerebrospinal fluid tests,Diagnostic Testing,74.17164
result,Comments,66.999115
specimen collection date,Laboratory Data,69.71434
elevated csf type*,Administrative,58.79841
specimen collection date,Laboratory Data,69.71434
organism visualization,Laboratory Data,62.147774
result,Comments,66.999115
specimen collection date,Laboratory Data,69.71434
comments,Comments,99.999985
ssn,Partner Information,63.47152
last name,Case Information,66.35032
first name,Case Information,61.800117
middle,Household Transmission,58.547646
parent name,Illness in Mother and Infant,64.248566
gender,Event,65.08886
"if female, pregnant",Illness in Mother and Infant,71.16333
date of birth,Patient History,64.33852
death date,Patient History,63.541645
race,Event,69.50713
ethnicity,Community Investigation,64.273766
address,Partner Information,65.42753
zip,,62.207527
county,Community Investigation,66.00082
city,Event,65.335236
state,Local Fields,62.3708
patient home phone number,Patient History,71.09871
patient's other phone number,Patient History,71.977066
emergence phone,Call logs,65.6278
patient e-mail,Clinical Information,77.26684
mrn,,60.628544
onset date,History of the disease,68.44378
diagnosis date,Patient History,76.77745
if patient died,Patient History,73.81041
hospitalized,Medical Encounters,70.81132
hospital name,Medical Encounters,72.740135
patient admission date,Patient History,76.82675
discharged date,Patient History,65.21781
insurance,Medical Encounters,66.900185
treated,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.557816
specify treatment,Treatment/ Services referrals/ Case Diagnosis and Treatment,80.76437
laboratory testing,Laboratory Data,88.80298
physician,Medical Encounters,79.18826
address,Partner Information,65.42753
city,Event,65.335236
state,Local Fields,62.3708
zip,,62.207527
phone,Call logs,66.341896
fax,Administrative,64.17158
patient e-mail,Clinical Information,77.26684
reportable diseases and conditions in florida,Public Health Issues,74.43389
comments,Comments,99.999985
facility,Reporting Entity/Reporting Facility,70.99867
district,Administrative,65.69792
tracking number,Surveillance Use Only,63.864826
patient first name,Patient History,79.495026
surname,Case Information,63.159615
date of birth,Patient History,64.33852
sex,Comments,66.737495
date of investigation (dd/mm/yyyy),Case Information,71.28385
is the case/condition detected by a health worker,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.8805
where is the case/condition detected,Case Information,74.85149
if patient pregnant,Illness in Mother and Infant,72.756386
lactating,Illness in Mother and Infant,67.69845
level of education,Administrative,66.93224
marital status,Partner Information,69.89602
work/occupation,Administrative,72.1982
workplace/nursery/school/college name,Administrative,65.90848
workplace/nursery/school/college physical address,Partner Information,68.182846
workplace/nursery/school/college village/town/city,Administrative,64.76399
workplace/nursery/school/college contact phone,Partner Information,63.330578
name of parent/guardian/next of kin,Partner Information,66.22521
current residential coordinates,Local Fields,62.070835
location when symptom started,History of the disease,73.490974
residential chiefdom/zone when symptom started,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.24094
signs and symptoms,Diagnostic Testing,73.288
onset date of fever,History of the disease,71.11589
patient is a health worker,Medical Encounters,77.347305
cadre,Administrative,61.897194
staff position (specify),Administrative,74.44511
staff workstation,Administrative,74.348274
have you ever had unprotected sex,Potential Vibrio vehicles,60.558575
have you ever been treated for sexually transmitted diseases,Treatment/ Services referrals/ Case Diagnosis and Treatment,67.98673
have you ever received blood or tissues,Medical Encounters,67.16385
"have you ever engaged in body piercing, tattoo application or scarification",Medical Encounters,62.99536
"have you ever injected drugs, share needles or other drug paraphernalia",Medical Encounters,64.328476
have you ever undergone dialysis (heamodialysis) or peritoneal,Medical Encounters,64.71897
have you ever had occupational exposure like needle stick,Medical Encounters,68.5629
have you ever share accomodation with a confirmed case of hepatitis (b or c),Medical Encounters,65.55909
have you ever consumed possibly contaminated meal/food/beverage within 3 months of the onset of jaundice,Illness in Mother and Infant,66.10937
have you ever consumed undercooked meat or raw shellfish within 3 months of the onset of jaundice,Nutritious / Food consumption,62.993534
has there been floods in your residence in the past 3 months,Public Health Issues,58.53749
have you ever traveled from your residence in the last 3 months,Medical Encounters,58.169586
"if yes, village/town/city travelled to",Local Fields,61.01286
chiefdom/zone travelled to,Local Fields,58.297695
travelled out of the country,Case Information,62.30976
"if yes, country travelled to (address/village/town/city)",Patient History,61.534454
date travelled (dd/mm/yyyy),Patient History,62.54267
date returned (dd/mm/yyyy),Patient History,58.731796
prior treatment/self medication,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.80341
have you ever taken hepatitis b vaccine,Potential Vibrio vehicles,60.153114
does the alert meet case definition for hepatitis diseases,Clinical Information,69.99713
date of conclusion (dd/mm/yyyy),Patient History,64.73063
final diagnosis,Diagnostic Testing,75.172035
case classification,Case Information,79.78462
final patient vital status,Clinical Information,73.188965
date of death (dd/mm/yyyy),Patient History,63.11879
general comments,Comments,84.09572
name,Case Information,63.117123
designation,Administrative,69.45636
contact phone number,Partner Information,62.941933
facility,Reporting Entity/Reporting Facility,70.99867
district,Administrative,65.69792
tracking number,Surveillance Use Only,63.864826
patient first name,Patient History,79.495026
surname,Case Information,63.159615
date of birth,Patient History,64.33852
sex,Comments,66.737495
date of investigation (dd/mm/yyyy),Case Information,71.28385
is the case/condition detected by a health worker,Treatment/ Services referrals/ Case Diagnosis and Treatment,79.8805
where is the case/condition detected,Case Information,74.85149
if patient pregnant,Illness in Mother and Infant,72.756386
lactating,Illness in Mother and Infant,67.69845
level of education,Administrative,66.932236
marital status,Partner Information,69.89602
work/occupation,Administrative,72.1982
workplace/nursery/school/college name,Administrative,65.90848
workplace/nursery/school/college physical address,Partner Information,68.182846
workplace/nursery/school/college village/town/city,Administrative,64.76399
workplace/nursery/school/college contact phone,Partner Information,63.330578
name of parent/guardian/next of kin,Partner Information,66.22521
location when symptom started,History of the disease,73.490974
residential village/town/city when symptom started,History of the disease,72.2938
residential chiefdom/zone when symptom started,Treatment/ Services referrals/ Case Diagnosis and Treatment,70.24094
current residential coordinates,Local Fields,62.070835
patient was a followed contact,Medical Encounters,76.54688
head of household,Administrative,67.99585
head of household mobile phone number,Household Transmission,61.54555
*information provided by category of person:,Clinical Information,71.25617
information provided by-name,Partner Information,71.977554
information provided by-relation to patient,Clinical Information,80.896034
number of household contacts,Partner Information,65.946686
number of other contact,Partner Information,67.851
patient is a health worker,Medical Encounters,77.347305
cadre,Administrative,61.897194
staff position (specify),Administrative,74.4451
staff workstation,Administrative,74.348274
location when symptoms developed-town/village/neighborhood/street,History of the disease,71.70477
location where symptoms developed-district/chiefdom,History of the disease,76.61919
signs and symptoms,Diagnostic Testing,73.288
patient is in isolation or treatment unit,Treatment/ Services referrals/ Case Diagnosis and Treatment,73.76759
date of admission to isolation unit or treatment unit,Patient History,75.93619
name of health facility patient admitted,Patient History,78.3385
patient admitted or visit anyone at the health facility before becoming ill,Medical Encounters,74.9743
"if yes, name of health facility",Medical Encounters,70.37053
previous admission or visiting date,Patient History,70.91325
date of previous discharge from the hospital,Patient History,78.346016
prior treatment/self medication,Treatment/ Services referrals/ Case Diagnosis and Treatment,77.80341
traditional healer visited/consulted 3 weeks before becoming ill,Traditional Healer,80.58288
traditional healer's name,Traditional Healer,92.503006
village/town/city where the patient visited the traditional healer,Traditional Healer,81.01639
chiefdom/zone,Administrative,59.677963
date seen,Event,62.970215
contact with suspected or confirmed vhf case within 1 month before onset,Treatment/ Services referrals/ Case Diagnosis and Treatment,72.28485
type of contact with subject,Medical Encounters,66.53479
name of suspected or confirmed vhf case,Case Information,73.75443
relation to patient,Patient History,79.70172
date of last contact,Patient History,67.46268
village/neighborhood/town,Local Fields,68.617645
chiefdom/zone,Administrative,59.677963
vital status of the suspected or confirmed vhf case,Illness in Mother and Infant,70.28313
"if dead, date of death",Patient History,66.74294
did patient attend a funeral within 1 month before onset of illness,Illness in Mother and Infant,69.55761
name of deceased person,Partner Information,63.999985
relation to patient,Patient History,79.70172
date of funeral,Event,61.94989
village/neighborhood/town,Local Fields,68.617645
chiefdom/zone,Administrative,59.677963
patient carried/touched the deceased,Medical Encounters,67.92059
patient have had contact with any wild animal products in the past one month,Epidemiological/Exposure Factors/ Exposure/Source,72.02439
type of wild animal the patient had contact with,Medical Encounters,74.85029
village/town/city where the patient had contact with wild animal,Medical Encounters,74.01394
chiefdom/zone,Administrative,59.677963
date of contact,Patient History,67.56266
did patient travel outside home area in the last one month,Patient History,72.632515
village/town/city visited,Community Investigation,63.070995
chiefdom/zone visited,Patient History,59.520004
travelled out of the country,Case Information,62.30976
"if yes, country travelled to (address/village/town/city)",Patient History,61.534454
date travelled,Event,64.59273
date returned,Patient History,60.93701
ebola vaccine received,History of the disease,61.67431
ebola vaccine received date,History of the disease,62.449806
does the alert meet case definition for acute viral haemorrhagic fever,Potential Vibrio vehicles,65.19172
date of conclusion,Case Information,67.51485
final diagnosis,Diagnostic Testing,75.172035
case classification,Case Information,79.78462
final patient vital status,Clinical Information,73.188965
date of death,Patient History,66.41272
general comments,Comments,84.09571
name,Case Information,63.117123
designation,Administrative,69.45636
contact phone number,Partner Information,62.941933
province/state,Case Information,63.7918
district,Administrative,65.69792
case id,Case Information,86.82826
place of vaccination,Epidemiological/Exposure Factors/ Exposure/Source,67.369095
vaccination in,Public Health Issues,67.14798
address of vaccination site,Epidemiological/Exposure Factors/ Exposure/Source,65.12259
name of reporting officer,Reporting Entity/Reporting Facility,76.7284
designation/position,Administrative,75.83578
telephone no. landline (with code),Partner Information,64.895645
date of investigation,Case Information,74.56369
date of filling this form,Patient History,67.289925
this report is,Reporting Entity/Reporting Facility,68.41645
mobile,Comments,66.51685
patient e-mail,Clinical Information,77.26684
patient name (use a separate form for each case in cluster),Patient History,69.04596
sex,Comments,66.737495
date of birth,Patient History,64.33852
age at onset,History of the disease,67.24009
age group,Comments,60.11709
"patient's full address with landmarks (street name, house number, locality, phone number etc.)",Clinical Information,79.75531
name of vaccines/diluent received by patient,Clinical Information,68.89559
date of vaccination,History of the disease,64.851234
time of vaccination,Maternal and Neonatal (e.g. Listeria forms),61.898315
"dose (e.g., 1st, 2nd, etc.)",Clinical Information,67.99681
batch/lot number,Case Information,60.55352
expiry date,Patient History,58.543777
type of site,Administrative,62.42771
date of first/key symptom (dd/mm/yyyy),Patient History,70.403465
time of first symptom (hh/mm),History of the disease,68.165825
date of hospitalization (dd/mm/yyyy),Patient History,79.873184
date first reported to the health authority (dd/mm/yyyy),Patient History,78.01102
status on the date of investigation,Case Information,75.09702
"if died, date and time of death (dd/mm/yyyy)",Patient History,68.51306
time of death(hh/mm),Patient History,63.32849
autopsy done,Medical Encounters,66.04213
past history of similar event,Patient History,73.397
adverse event after previous vaccination(s),Illness in Mother and Infant,66.99059
"history of allergy to vaccine, drug or food",Patient History,72.75712
pre-existing illness (30 days) / congenital disorder,Illness in Mother and Infant,79.600815
"history of hospitalization in last 30 days, with cause",Patient History,82.94576
"patient currently on concomitant medication (if yes, name the drug, indication, doses and treatment dates)",Clinical Information,77.94946
family history of any disease (relevant to aefi) or allergy,Epidemiological/Exposure Factors/ Exposure/Source,73.021736
currently pregnant,Illness in Mother and Infant,64.48118
currently breastfeeding,Illness in Mother and Infant,66.39021
the birth was,Illness in Mother and Infant,67.73696
birth weight,Illness in Mother and Infant,66.31746
delivery procedure was,Illness in Mother and Infant,64.48213
source of information (check all that apply),Clinical Information,66.97051
"if from verbal autopsy, please mention source",History of the disease,66.62705
name of the person who first examined/treated the patient,Patient History,78.9978
name of other persons treating the patient,Patient History,78.36022
other sources who provided information (specify),Reporting Entity/Reporting Facility,67.4316
signs and symptoms in chronological order from the time of vaccination,History of the disease,69.3907
name and contact information of person completing these clinical details,Clinical Information,85.09927
designation,Administrative,69.45636
date/time,Event,67.70361
provisional/ final diagnosis,Diagnostic Testing,80.532776
vaccine name,Maternal and Neonatal (e.g. Listeria forms),64.485825
number of doses,Epidemiological/Exposure Factors/ Exposure/Source,66.29612
when was patient immunized,Patient History,70.25831
"in case of multidose vials, was the vaccine given",Maternal and Neonatal (e.g. Listeria forms),63.791855
was there an error in prescribing or non-adherence to recommendations for use of this vaccine,Clinical Information,64.201096
vaccine was not unsterilr,Illness in Mother and Infant,65.795395
if vaccine was normal,Public Health Issues,62.787354
"based on your investigation, do you feel that there was an error in vaccine reconstitution/preparation by the vaccinator (e.g. wrong product, wrong diluent, improper mixing, improper syringe filling etc",Diagnostic Testing,65.40013
"based on your investigation, do you feel that there was an error in vaccine handling (e.g. break in cold chain during transport, storage and/or immunization session etc.)",Maternal and Neonatal (e.g. Listeria forms),65.706635
if vaccine administered correctly,Maternal and Neonatal (e.g. Listeria forms),62.95557
number immunized from the concerned vaccine vial/ampoule,Laboratory Data,65.21112
number immunized with the concerned vaccine in the same session,Patient History,64.88153
number immunized from the concerned vaccine having the same batch number in other locations. specify locations,Epidemiological/Exposure Factors/ Exposure/Source,67.15362
