element,members
parent/guardian phone,Parent/Guardian phone
event outcome,Event outcome
event exception,Event exception
outbreak name,Outbreak name
exposure setting,Exposure setting
accession no.,Accession No.
result type,Result type
organism,Organism
type (e.g. serogroup),Type (e.g. serogroup)
occupation type,Occupation type
worked after symptom onset,Worked after symptom onset
date worked from,Date worked from
date worked to,Date worked to
removed from duties,Removed from duties
date removed,Date removed
handle food,Handle food
attend or provide child care,Attend or provide child care
attend school,Attend school
work in a lab setting,Work in a lab setting
job title,Job title
work in a health care setting,Work in a health care setting
direct patient care duties in lab or healthcare settings,Direct patient care duties in lab or healthcare settings
health care worker type,Health care worker type
was the case hospitalized,Was the case hospitalized
currently isolated,Currently isolated
isolated at entry,Isolated at entry
current isolation type,Current isolation type
isolation type (entry),Isolation type (entry)
days hospitalized,Days hospitalized
anthrax type,Anthrax type
pre-existing wound 7 days prior to onset,Pre-existing wound 7 days prior to onset
wound location,Wound location
chest x-ray done,Chest x-ray done
widened mediastinum,Widened mediastinum
biopsy performed,Biopsy performed
site,Site
antibiotics prescribed,Antibiotics prescribed
no. of days,No. of days
no. of times a day,No. of times a day
vaccinated for anthrax,Vaccinated for anthrax
date vaccinated,Date vaccinated
lot no.,Lot No.
vaccine type,Vaccine type
manufacturer,Manufacturer
number of vaccinations,Number of vaccinations
traveled within lowa,Traveled within lowa
city in lowa,City in lowa
departure date,Departure date
return date,Return date
traveled within u.s.,Traveled within U.S.
traveled outside u.s.,Traveled outside U.S.
mail handled or opened,Mail handled or opened
mail suspicious,Mail suspicious
worked in broadcast or print media,Worked in broadcast or print media
"animal hide, hair, or bone contact","Animal hide, hair, or bone contact"
animal,Animal
ground meat consumed,Ground meat consumed
meat fully cooked,Meat fully cooked
brand name,Brand name
from date consumed,From date consumed
to date consumed,To date consumed
meat other than ground meat consumed,Meat other than ground meat consumed
worked with another case,Worked with another case
lived with another case,Lived with another case
number of people living in case's household,Number of people living in case's household
others with the same exposures,Others with the same exposures
relationship to case,Relationship to case
list symptoms,List symptoms
is contact a case,Is contact a case
"address (number, apt no., city, state, zip)","Address (Number, Apt No., City, State, ZIP)"
patient chart no.,Patient Chart No.
state health dept. case no.,State health dept. case no.
city of residence,City of residence
date of symptom onset of legionellosis (mm/dd/yyyy),Date of symptom onset of legionellosis (mm/dd/yyyy)
date of first report to public health at any level (mm/dd/yyyy),Date of first report to public health at any level (mm/dd/yyyy)
was the patient hospitalized during treatment for legionellosis,Was the patient hospitalized during treatment for legionellosis
"if yes, date of admission (mm/dd/yyyy)","If yes, date of admission (mm/dd/yyyy)"
"city, state","City, state"
"in the 14 days before onset, did the patient spend any nights away from home (excluding healthcare setting)","In the 14 days before onset, did the patient spend any nights away from home (excluding healthcare setting)"
name of accomodation,"Name of accomodation 1, Name of accomodation 2"
room number,Room number
date of arrival,Date of arrival
date of departure,"Date of departure, date of departure"
comments about travel,Comments about travel
"in the 14 days before onset, did the patient visit or stay in a healthcare setting (e.g., hospital, long-term care/rehab/skilled nursing facility, clinic)","In the 14 days before onset, did the patient visit or stay in a healthcare setting (e.g., hospital, long-term care/rehab/skilled nursing facility, clinic)"
type of healthcare setting/facility,Type of healthcare setting/facility
is the facility also a transplant center,Is the facility also a transplant center
reason for visit,Reason for visit
did the healthcare facility have in place a water management program to reduce the risk of legionella growth and spread,Did the healthcare facility have in place a water management program to reduce the risk of Legionella growth and spread
comments about healthcare facility,Comments about healthcare facility
was this case associated with a healthcare exposure,Was this case associated with a healthcare exposure
"in the 14 days before onset, did the patient visit or stay in an assisted living facility or senior living facility? assisted/senior living facilities do not provide skilled nursing or medical care","In the 14 days before onset, did the patient visit or stay in an assisted living facility or senior living facility? Assisted/senior living facilities do not provide skilled nursing or medical care"
type of setting/facility,Type of setting/facility
name of assisted/senior living facility 1,Name of assisted/senior living facility 1
did the assisted/senior living facility have in place a water management program to reduce the risk of legionella growth and spread,Did the assisted/senior living facility have in place a water management program to reduce the risk of Legionella growth and spread
comments about assisted or senior living facility,Comments about assisted or senior living facility
was this case associated with an assisted or senior living facility,Was this case associated with an assisted or senior living facility
was this case associated with a known outbreak or possible cluster,Was this case associated with a known outbreak or possible cluster
"if this case was associated with an outbreak reported to nors (national outbreak reporting system), what is the cdc-assigned nors outbreak id","If this case was associated with an outbreak reported to NORS (National Outbreak Reporting System), what is the CDC-assigned NORS outbreak ID"
urinary antigen test (uat),Urinary antigen test (UAT)
"nucleic acid assay (e.g., pcr)","Nucleic acid assay (e.g., PCR)"
direct fluorescent antibody (dfa) or immunohistochemistry (ihc),Direct fluorescent antibody (DFA) or immunohistochemistry (IHC)
"if culture, nucleic acid assay (e.g., pcr), or dfa/ihc were performed, specify species and/or serogroup identified","If culture, nucleic acid assay (e.g., PCR), or DFA/IHC were performed, specify species and/or serogroup identified"
antibody titer test,Antibody titer test
quantitative titer value,Quantitative titer value
was a specimen(s) sent to cdc for testing,Was a specimen(s) sent to CDC for testing
"if probable, indicate epidemiologic link","If probable, indicate epidemiologic link"
shower away from home,Shower away from home
in or near a hot tub,In or near a Hot tub
near a decorative water fountain or water feature,Near a decorative water fountain or water feature
near a mister,Near a mister
near a sprinkler,Near a sprinkler
recreational water park,Recreational water park
near some other water aerosolizing device,Near some other water aerosolizing device
"attend a convention, reception, conference, or other public gathering","Attend a convention, reception, conference, or other public gathering"
"visit or live in a congregate living facility (e.g., correctional facility, shelters, dormitories, etc.)","Visit or live in a congregate living facility (e.g., correctional facility, shelters, dormitories, etc.)"
"visit an area with large buildings (e.g., shopping centers, high-rise complexes, etc.) that may have a cooling tower(s)","Visit an area with large buildings (e.g., shopping centers, high-rise complexes, etc.) that may have a cooling tower(s)"
construction/remodeling near home or place visited,Construction/remodeling near home or place visited
"work with water device/system maintenance (e.g., cooling towers, plumbing, hot tub)","Work with water device/system maintenance (e.g., cooling towers, plumbing, hot tub)"
"work in water-related leisure (e.g., hotels, cruise ships, water parks)","Work in water-related leisure (e.g., hotels, cruise ships, water parks)"
industrial/manufacturing plant with a water spray cooling system or processes involving spraying water,Industrial/manufacturing plant with a water spray cooling system or processes involving spraying water
commercial or long haul truck driving,Commercial or long haul truck driving
work in commercial kitchen,Work in commercial kitchen
"work in custodial services (e.g., housekeeping, janitorial)","Work in custodial services (e.g., housekeeping, janitorial)"
"work in construction (e.g., spraying water, demolition, refurbishing)","Work in construction (e.g., spraying water, demolition, refurbishing)"
work at wastewater treatment plant,Work at wastewater treatment plant
work in another occupation involving water exposures,Work in another occupation involving water exposures
"in the 14 days before onset, did the patient use respiratory therapy equipment (e.g., nebulizer, cpap, bipap) for treatment of sleep apnea, copd, asthma, or any other reason","In the 14 days before onset, did the patient use respiratory therapy equipment (e.g., nebulizer, CPAP, BiPAP) for treatment of sleep apnea, COPD, asthma, or any other reason"
"if yes to respiratory therapy equipment, does this device use a humidifier","If yes to respiratory therapy equipment, does this device use a humidifier"
"if yes, what type of water is used in the device? (check all that apply)","If yes, what type of water is used in the device? (check all that apply)"
"in the 14 days before onset, did the patient take a cruise","In the 14 days before onset, did the patient take a cruise"
name of cruise line,Name of cruise line
name of ship,Name of ship
cruise departure city,Cruise departure city
cruise departure state,Cruise departure state
cruise departure country,Cruise departure country
cruise departure date,Cruise departure date
cruise return city,Cruise return city
cruise return state,Cruise return state
cruise return country,Cruise return country
cruise return date,Cruise return date
cabin number,Cabin number
ports of call,Ports of call
did the patient have any underlying conditions or prior illnesses,Did the patient have any underlying conditions or prior illnesses
"if yes, indicate whether the patient has each of the following underlying conditions","If yes, indicate whether the patient has each of the following underlying conditions"
was the patient or proxy interviewed by public health,Was the patient or proxy interviewed by public health
interviewer's name,Interviewer's name
state health dept. official who reviewed this report,State health dept. official who reviewed this report
last name soundex,"last name soundex, Last Name Soundex"
"alternate name type (ex; alias, married)","Alternate name type (ex; Alias, Married)"
"current address, street","Current Address, Street"
address date,Address Date
state/country,State/Country
other id type number,Other ID Type Number
date received at health department,Date Received at Health Department
ehars document uid,eHARS Document UID
state number,State Number
reporting health dept-city/county,Reporting Health Dept-City/County
city/county number,City/County Number
document source,Document Source
surveillance method,Surveillance Method
did this report initiate a new case investigation,Did this report initiate a new case investigation
report medium,Report Medium
inpatient,Inpatient
outpatient,Outpatient
"screening, diagnostic,referral agency","Screening, Diagnostic,Referral Agency"
other facility,"Other Facility, Other facility"
alias date of birth,Alias Date of Birth
vital status,Vital Status
state of death,State of Death
date identified,Date Identified
sexual orientation,Sexual Orientation
expanded ethnicity,Expanded Ethnicity
expanded race,Expanded Race
address event type (check all that apply to address below),Address Event Type (check all that apply to address below)
diagnosis type (check all that apply to facility below),"Diagnosis type (check all that apply to facility below), Diagnosis Type (check all that apply to facility below)"
specialty,"Speciality, Specialty"
pediatric risk (enter in comments),Pediatric risk (enter in comments)
"after 1977 and before the earliest known diagnosis of hiv infection, this patient had","After 1977 and before the earliest known diagnosis of HIV infection, this patient had"
heterosexual relations with any of the following,HETEROSEXUAL relations with any of the following
received transfusion of blood/blood components (other than clotting factor) (document reason in comments),Received transfusion of blood/blood components (other than clotting factor) (document reason in Comments)
first date received,First date received
last date received,Last date received
received transplant of tissue/organs or artificial insemination,Received transplant of tissue/organs or artificial insemination
worked in a healthcare or clinical laboratory setting,Worked in a healthcare or clinical laboratory setting
"if occupational exposure is being investigated or considered as primary mode of exposure, specify occupation and setting","If occupational exposure is being investigated or considered as primary mode of exposure, specify occupation and setting"
other documented risk (include detail in comments),Other documented risk (include detail in Comments)
suspect acute hiv infection,Suspect acute HIV infection
"clinical signs/symptoms consistent with acute retroviral syndrome (e.g., fever, malaise/fatigue, myalgia, pharyngitis, rash, lymphadenopathy?","Clinical signs/symptoms consistent with acute retroviral syndrome (e.g., fever, malaise/fatigue, myalgia, pharyngitis, rash, lymphadenopathy?"
other evidence suggestive of acute hiv infection,Other evidence suggestive of acute HIV infection
opportunistic illnesses,Opportunistic illnesses
test brand name/manufacturer,Test Brand Name/Manufacturer
testing option (if applicable),Testing Option (if applicable)
result overall,Result Overall
analyte results: hiv-1 ag,Analyte results: HIV-1 Ag
analyte results: hiv-1/2 ab,Analyte results: HIV-1/2 Ab
overall interpretation,Overall interpretation
hiv-1 ag,HIV-1 Ag
hiv-1 ab,HIV-1 Ab
hiv-2 ab,HIV-2 Ab
qualitative,Qualitative
analyte results,Analyte results
copies/ml,Copies/mL
log,Log
cd4 count,CD4 count
cd4 percentage,"CD4 percentage, CD4 Percentage"
did documented laboratory test results meet approved hiv diagnostic algorithm criteria,Did documented laboratory test results meet approved HIV diagnostic algorithm criteria
"if yes, provide specimen collection date of earliest positive test result for this algorithm","If yes, provide specimen collection date of earliest positive test result for this algorithm"
is earliest evidence of hiv infection diagnosis documented by a physician rather than by laboratory test results,Is earliest evidence of HIV infection diagnosis documented by a physician rather than by laboratory test results
"if yes, provide date of diagnosis by physician","If yes, provide date of diagnosis by physician"
date of last documented negative hiv test result (before hiv diagnosis date),Date of last documented negative HIV test result (before HIV diagnosis date)
specify type of test,Specify type of test
has this patient been informed of his/her hiv infection,Has this patient been informed of his/her HIV infection
this patient's partners will be notified about their hiv exposure and counseled by,This patient's partners will be notified about their HIV exposure and counseled by
evidence of receipt of hiv medical care other than laboratory test result (select one; record additional evidence in comments),Evidence of receipt of HIV medical care other than laboratory test result (select one; record additional evidence in Comments)
date of medical visit or prescription,Date of medical visit or prescription
this patient is receiving or has been referred for gynecological or obstetrical services,This patient is receiving or has been referred for gynecological or obstetrical services
is this patient currently pregnant,Is this patient currently pregnant
has this patient delivered live-born infants,Has this patient delivered live-born infants
child's name,Child's Name
child's date of birth,Child's Date of Birth
child's last name soundex,Child's Last Name Soundex
child's state number,Child's State Number
"facility name of birth (if child was born at home, enter ""home birth"")","Facility Name of Birth (if child was born at home, enter ""home birth"")"
main source of antiretroviral (arv) use information (select one),Main source of antiretroviral (ARV) use information (select one)
date patient reported information,Date patient reported information
ever taken any arvs,Ever taken any ARVs
hiv tx,HIV Tx
prep,PrEP
pep,PEP
pmtct,PMTCT
hbv tx,HBV Tx
other (specify reason),Other (specify reason)
main source of testing history information (select one),Main source of testing history information (select one)
ever had previous positive hiv test result,Ever had previous positive HIV test result
date of first positive hiv test result,Date of first positive HIV test result
was the first positive test result from a self-test performed by the patient,Was the first positive test result from a self-test performed by the patient
ever had a negative hiv test result,Ever had a negative HIV test result
"date of last negative hiv test result (if date is from a lab test with test type, enter in lab data section)","Date of last negative HIV test result (if date is from a lab test with test type, enter in Lab Data section)"
was the last negative test result from a self-test performed by the patient,Was the last negative test result from a self-test performed by the patient
number of negative hiv test results within the 24 months before the first positive test result,Number of negative HIV test results within the 24 months before the first positive test result
how many of these negative test results were from self-tests performed by the patient,How many of these negative test results were from self-tests performed by the patient
local/optional fields,Local/Optional Fields
"alternate name type (example: birth, call me)","Alternate Name Type (example: Birth, Call Me)"
other id type,Other ID Type
number,Number
diagnosis status at report,Diagnosis Status at Report
date of last medical evaluation,Date of Last Medical Evaluation
date of initial evaluation for hiv,Date of Initial Evaluation for HIV
birthing person's hiv infection status,Birthing person's HIV infection status
date of birthing person's first positive test result to confirm infection,Date of birthing person's first positive test result to confirm infection
child breastfed/chestfed by birthing person,Child breastfed/chestfed by birthing person
child received premasticated/pre-chewed food from birthing person,Child received premasticated/pre-chewed food from birthing person
"after 1977 and before the earliest known diagnosis of hiv infection, the birthing person had:","After 1977 and before the earliest known diagnosis of HIV infection, the birthing person had:"
birthing person had heterosexual relations with any of the following:,Birthing person had HETEROSEXUAL relations with any of the following:
birthing person had:,Birthing person had:
"before the diagnosis of hiv infection, this child had:","Before the diagnosis of HIV infection, this child had:"
opportunistic illness (record all dates as mm/dd/yyyy),Opportunistic Illness (record all dates as mm/dd/yyyy)
"if a diagnosis date is entered for either tuberculosis diagnosis above, provide rvct case number","If a diagnosis date is entered for either tuberculosis diagnosis above, provide RVCT Case Number"
overall,Overall
hiv-1/2 ab,HIV-1/2 Ab
hiv-1 quantitative,HIV-1 Quantitative
hiv-infected,HIV-infected
date of diagnosis by physician,Date of diagnosis by physician
not hiv-infected,Not HIV-infected
birth history available,Birth history available
residence at birth,Residence at Birth
facility of birth,Facility of Birth
delivery,Delivery
"if cesarean delivery, mark all the following indications that apply","If Cesarean delivery, mark all the following indications that apply"
rupture of membranes,Rupture of membranes
congenital disorders,Congenital Disorders
neonatal status,Neonatal Status
neonatal gestational age in weeks,Neonatal Gestational Age in weeks
was a toxicology screen done on the infant after birth,Was a toxicology screen done on the infant after birth
amphetamines,Amphetamines
barbiturates,Barbiturates
benzodiazepines,Benzodiazepines
cocaine,Cocaine
crack cocaine,Crack cocaine
fentanyl,Fentanyl
hallucinogens,Hallucinogens
heroin,Heroin
k2,K2
"marijuana (cannabis, thc, cannabinoids)","Marijuana (cannabis, THC, cannabinoids)"
methadone,Methadone
methamphetamines,Methamphetamines
nicotine (any tobacco),Nicotine (any tobacco)
oplates,Oplates
pcp,PCP
specific drug(s) not documented,Specific drug(s) not documented
birthing person date of birth,Birthing Person Date of Birth
birthing person last name soundex,Birthing Person Last Name Soundex
birthing person country of birth,Birthing Person Country of Birth
birthing person state id number,Birthing Person State ID Number
birthing person city/country id number,Birthing Person City/Country ID Number
other birthing person id (specify type of id and id number),Other Birthing Person ID (specify type of ID and ID number)
"prenatal care-month of pregnancy prenatal care began (99 = unknown, 00 = none)","Prenatal Care-Month of Pregnancy Prenatal Care Began (99 = Unknown, 00 = None)"
"prenatal care-total number of prenatal care visits (99 = unknown, 00 = none)","Prenatal Care-Total Number of Prenatal Care Visits (99 = Unknown, 00 = None)"
"has the birthing person ever been pregnant before this pregnancy? include previous pregnancies that ended in a live birth, miscarriage, stillbirth, or induced abortion","Has the birthing person ever been pregnant before this pregnancy? Include previous pregnancies that ended in a live birth, miscarriage, stillbirth, or induced abortion"
"if yes, specify how many previous pregnancies","If yes, specify how many previous pregnancies"
pregnancy outcome (select one),Pregnancy outcome (select one)
was a test result (with a specimen collection date within the 6 weeks on or before delivery) documented in the birthing person's labor/delivery record cd4,Was a test result (with a specimen collection date within the 6 weeks on or before delivery) documented in the birthing person's labor/delivery record CD4
quantitative naat (rna or dna),Quantitative NAAT (RNA or DNA)
did birthing person receive any antiretrovirals (arvs) prior to this pregnancy,Did birthing person receive any antiretrovirals (ARVs) prior to this pregnancy
date began,Date began
date of last use,Date of last use
"if yes, specify all arvs","If yes, specify all ARVs"
did birthing person receive any antiretrovirals (arvs) during this pregnancy,Did birthing person receive any antiretrovirals (ARVs) during this pregnancy
"if no, select reason","If NO, select reason"
did birthing person receive any arvs during labor/delivery,Did birthing person receive any ARVs during labor/delivery
was the birthing person screened for any of the following conditions during this pregnancy?,Was the birthing person screened for any of the following conditions during this pregnancy?
were any of the following conditions diagnosed for the birthing person during this pregnancy or at the time of labor and delivery?,Were any of the following conditions diagnosed for the birthing person during this pregnancy or at the time of labor and delivery?
were substances used by the birthing person during this pregnancy,Were substances used by the birthing person during this pregnancy
opiates,Opiates
was a toxicology screen done on the birthing person (either during this pregnancy or at the time of delivery)?,Was a toxicology screen done on the birthing person (either during this pregnancy or at the time of delivery)?
has this child ever taken any arvs,Has this child ever taken any ARVs
arv medication,ARV medication
reason for use,Reason for use
has this child ever taken pcp prophylaxis,Has this child ever taken PCP prophylaxis
this child's primary caretaker is,This child's primary caretaker is
ehars entry date,eHARS Entry Date
psweb entry date,PSWeb Entry Date
document id,Document ID
soundex code,Soundex Code
date received at surveillance,Date Received at Surveillance
psweb person id no.,PSWeb Person ID No.
patient legal name,Patient Legal Name
ss no.,SS No.
residence at diagnosis (check all that apply),Residence at Diagnosis (check all that apply)
facility of diagnosis,Facility of diagnosis
provider specialty,Provider Specialty
facility type,Facility type
med rec no.,Med Rec No.
facility providing information,Facility providing information
facility completing form,Facility Completing form
do you suspect this is an acute (recent) infection?,Do you suspect this is an acute (recent) infection?
alias dob,Alias DOB
state/terr of death,State/Terr of Death
"before hiv diagnosis, patient had","Before HIV Diagnosis, patient had"
heterosexual sex with,HETEROSEXUAL SEX WITH
was patient perinatally infected,Was patient perinatally infected
patient informed of hiv infection,Patient informed of HIV infection
patient's partners will be notified of exposure and counseled by,Patient's partners will be notified of exposure and counseled by
patient currently pregnant,Patient currently pregnant
"if yes, referred to ob","If yes, referred to OB"
edc (due date),EDC (Due Date)
patient delivered live infants,Patient delivered live infants
"if yes, most recent delivery date","If yes, Most Recent Delivery Date"
delivery hospital,Delivery Hospital
child name,Child Name
hiv-1/2 ag/ab lab ia (discriminating and differentiating screen),HIV-1/2 Ag/Ab Lab IA (Discriminating and Differentiating Screen)
hiv-1/2 ag/ab rapid ia (4th gen discriminating screen),HIV-1/2 Ag/Ab Rapid IA (4th Gen Discriminating Screen)
hiv-1/2 ag/ab lab ia (4th gen screen),HIV-1/2 Ag/Ab Lab IA (4th Gen Screen)
hiv-1/2 ab ia (2nd or 3rd gen screen),HIV-1/2 Ab IA (2nd or 3rd Gen Screen)
hiv1/hiv2 type differentiating ia (supplemental test),HIV1/HIV2 Type Differentiating IA (Supplemental Test)
hiv-1 western blot (supplemental test),HIV-1 Western Blot (Supplemental Test)
hiv-1 rna/dna qualitative naat,HIV-1 RNA/DNA Qualitative NAAT
last negative test (prior to hiv diagnosis),Last Negative Test (prior to HIV diagnosis)
"if hiv lab tests were not documented, is hiv diagnosis confirmed by a clinical care provider","If HIV lab tests were NOT documented, is HIV diagnosis confirmed by a clinical care provider"
"if yes, please provide date of documentation by care provider","If yes, please provide date of documentation by care provider"
hiv-1 rna assay quantitative viral load,HIV-1 RNA Assay Quantitative Viral Load
cd4 count at or closest to current diagnostic status,CD4 Count at or closest to current diagnostic status
first cd4 count <200 total lymphocytes,First CD4 Count <200 total lymphocytes
hiv genotype,HIV Genotype
name of opportunistic illness,Name of Opportunistic illness
illness diagnosis date,Illness Diagnosis Date
date questions answered by patient,Date questions answered by patient
main source of tth info,Main Source of TTH Info
ever have previous positive hiv test,Ever have previous positive HIV test
anonymous 1st positive test,Anonymous 1st positive test
ever test negative,Ever test negative
no. of negative tests in 24 mo. before 1st positive test,No. of negative tests in 24 mo. before 1st positive test
for hiv tx,For HIV Tx
for prep,For PrEP
for pep,For PEP
for preg mom,For Preg mom
for hep b tx,For Hep B Tx
currently using arv,Currently using ARV
patient aka: last name,Patient AKA: Last Name
aka: first name,AKA: First Name
aka: middle name,AKA: Middle Name
social security number,Social Security Number
"if patient is a child, guardian last name","If patient is a child, Guardian Last Name"
guardian first name,Guardian First Name
guardian middle name,Guardian Middle Name
medicaid number,Medicaid Number
patient home address,Patient Home Address
borough,Borough
mobile phone,Mobile Phone
home status*,Home status*
is patient alive,Is patient alive
is case suspected to be due to healthcare associated transmission,Is case suspected to be due to healthcare associated transmission
is patient a newborn infant,Is patient a newborn infant
"if yes, name of hospital where infant was born","If yes, name of hospital where infant was born"
name of facility where infant's mother obtained prenatal care,Name of facility where infant's mother obtained prenatal care
foreign travel countries,Foreign travel Countries
date returned to u.s.,Date returned to U.S.
name of person reporting disease,Name of Person Reporting Disease
name of facility of person reporting disease,Name of Facility of Person Reporting Disease
national provider identifier (npi) code,National Provider Identifier (NPI) Code
permanent facility identifier (pfi) code,Permanent Facility Identifier (PFI) Code
facility street address,Facility Street Address
name of hospital/healthcare facility providing care for patient,Name of Hospital/Healthcare Facility Providing Care for Patient
facility national provider identifier (npi) code,Facility National Provider Identifier (NPI) Code
name of testing laboratory,Name of Testing Laboratory
clia number,CLIA Number
laboratory street address,Laboratory Street Address
name of provider caring for patient,Name of Provider Caring for Patient
provider street address,Provider Street Address
amebiasis,Amebiasis
anaplasmosis,Anaplasmosis
"arboviral infections, acute*","Arboviral infections, acute*"
babesiosis,Babesiosis
botulism*,Botulism*
campylobacteriosis�,Campylobacteriosis�
cryptosporidiosis�,Cryptosporidiosis�
cyclosporiasis�,Cyclosporiasis�
diphtheria*,Diphtheria*
ehrlichiosis,Ehrlichiosis
escherichia coli o157:h7 infection�,Escherichia coli O157:H7 infection�
food poisoning in a group of 2 or more individuals*,Food poisoning in a group of 2 or more individuals*
giardiasis�,Giardiasis�
glanders*,Glanders*
haemophilus influenzae,Haemophilus influenzae
specify serotype,Specify Serotype
hantavirus disease*,Hantavirus disease*
hemolytic uremic syndrome,Hemolytic uremic syndrome
alt (sgpt) value,ALT (SGPT) value
lab reference range,Lab reference range
hepatitis a�,Hepatitis A�
igm anti-hav,IgM anti-HAV
hepatitis b�,Hepatitis B�
igm anti-hbc,IgM anti-HBc
hbsag,HBsAg
hbeag,HBeAg
hbv nucleic acid,HBV Nucleic Acid
hepatitis b in pregnancy,Hepatitis B in pregnancy
hepatitis c�,Hepatitis C�
is this an acute infection?,Is this an acute infection?
"herpes, neonatal","Herpes, neonatal"
hiv/aids,Hiv/aiDS
lead poisoning,Lead poisoning
legionellosis,Legionellosis
specify positive test,Specify positive test
leprosy (hansen�s disease),Leprosy (Hansen�s disease)
leptospirosis,Leptospirosis
listeriosis�,Listeriosis�
lyme disease,Lyme disease
erythema migrans present?,Erythema migrans present?
lymphocytic choriomeningitis virus,Lymphocytic choriomeningitis virus
lymphogranuloma venereum,Lymphogranuloma venereum
malaria,Malaria
measles (rubeola)*,Measles (rubeola)*
melioidosis*,Melioidosis*
"meningitis, specify bacteria identified","Meningitis, Specify bacteria identified"
"meningococcal disease, invasive (including meningitis) *","Meningococcal disease, invasive (including meningitis) *"
test type/specimen source,Test type/Specimen source
monkeypox*,Monkeypox*
mumps�,Mumps�
paratyphoid fever�,Paratyphoid fever�
pertussis (whooping cough)�,Pertussis (whooping cough)�
pesticide poisoning,Pesticide poisoning
poisoning,Poisoning
poliomyelitis*,Poliomyelitis*
psittacosis,Psittacosis
q fever*,Q Fever*
rabies and exposure to rabies*,Rabies and exposure to rabies*
ricin poisoning*,Ricin poisoning*
rickettsialpox,Rickettsialpox
rocky mountain spotted fever,Rocky Mountain spotted fever
rubella (german measles)*,Rubella (German measles)*
"rubella syndrome, congenital","Rubella syndrome, congenital"
salmonellosis�,Salmonellosis�
"severe or novel coronavirus (e.g., sars or mers-cov)*","Severe or novel coronavirus (e.g., SARS or MERS-CoV)*"
shiga-toxin producing escherichia coli (stec) infection�,Shiga-toxin producing Escherichia coli (STEC) infection�
shigellosis�,Shigellosis�
smallpox (variola)*,Smallpox (variola)*
staphylococcal enterotoxin b poisoning*,Staphylococcal enterotoxin B poisoning*
"staphylococcus aureus, vancomycin intermediate (visa) and resistant (vrsa)*","Staphylococcus aureus, vancomycin intermediate (VISA) and resistant (VRSA)*"
mic (�g/ml),MIC (�g/ml)
streptococcus,Streptococcus
specify source,Specify Source
"syphilis, including congenital","Syphilis, including congenital"
tetanus,Tetanus
toxic shock syndrome,Toxic shock syndrome
trachoma,Trachoma
transmissible spongiform encephalopathy,Transmissible spongiform encephalopathy
testing done,Testing done
trichinosis,Trichinosis
tuberculosis,Tuberculosis
tularemia*,Tularemia*
typhoid fever�,Typhoid fever�
vaccinia disease (adverse events associated with smallpox vaccination)*,Vaccinia disease (adverse events associated with smallpox vaccination)*
"vibrio species, non-cholera specify species","Vibrio species, non-cholera Specify species"
viral hemorrhagic fever*,Viral hemorrhagic fever*
"west nile fever and viral neuroinvasive disease (e.g., meningitis and encephalitis)","West Nile fever and viral neuroinvasive disease (e.g., meningitis and encephalitis)"
"yersiniosis, non-plague�","Yersiniosis, non-plague�"
zika,Zika
patient works in,Patient works in
patient attends/resides in,Patient attends/resides in
animal bites,Animal bites
animal species,Animal Species
breed,Breed
color(s),Color(s)
owner's name,Owner's Name
date of bite,Date of Bite
area of body bitten,Area of body bitten
activity at time of bite,Activity at time of bite
place of occurence,Place of Occurence
rabies prophylaxis,Rabies prophylaxis
hrig,HRIG
rabies vaccine,Rabies Vaccine
drownings,Drownings
drowning location,Drowning location
window falls,Window Falls
route of exposure,Route of exposure
chemical,Chemical
quantity,Quantity
date and time of exposure,Date and time of exposure
unintentional,Unintentional
intentional,Intentional
adverse reaction,Adverse reaction
symptom assessment (check all that apply),Symptom assessment (check all that apply)
data analyzed,Data analyzed
laboratory accession number,Laboratory Accession Number
results (units),Results (units)
purpose of test,Purpose of test
body weight,Body Weight
units*,Units*
resp,Resp
temp,Temp
pulse,Pulse
pupils,Pupils
bp,BP
provider treatment,Provider treatment
patient status at time of reporting,Patient status at time of reporting
indicate all sites of disease for tb suspect or case,Indicate all sites of disease for TB suspect or case
afb smear,AFB Smear
nucleic acid amplification (naa),Nucleic Acid Amplification (NAA)
mutation analysis test type,Mutation Analysis test type
mutation detected,Mutation detected
"if yes, list the genes with mutation","If yes, list the genes with mutation"
m. tb complex culture,M. tb complex culture
pathology consistent with tb,Pathology Consistent with TB
pathology specimen number,Pathology Specimen Number
pathology specimen source,Pathology specimen source
pathology findings,Pathology Findings
chest x-ray type,Chest X-Ray type
x-ray type*,X-Ray type*
x-ray date*,X-Ray Date*
body site,Body Site
body site x-ray type,Body site x-ray type
test for tb infection,Test for TB infection
date of most recent test,Date of most recent test
induration,Induration
on anti-tb medications,On Anti-TB Medications
isoriazid (inh),Isoriazid (INH)
rufampin (rf),Rufampin (RF)
pyrazimide (pza),Pyrazimide (PZA)
ethambutol,Ethambutol
airborne isolation,Airborne isolation
"if yes, date initiated","If yes, date initiated"
were any of this patient's sex partners notified of possible exposure to an std (check all that apply),Were any of this patient's sex partners notified of possible exposure to an STD (check all that apply)
did you provide treatment for any of this patient's partners? (check all that apply),Did you provide treatment for any of this patient's partners? (check all that apply)
is the patient on pre-exposure prophylaxis (prep) to prevent hiv infection,Is the patient on pre-exposure prophylaxis (PrEP) to prevent HIV infection
please indicate gender of sexual partners in the past year (check all that apply),Please indicate gender of sexual partners in the past year (check all that apply)
specify type of specimen,Specify type of specimen
chlamydia (ct),Chlamydia (CT)
specify test type,Specify test type
